Name,Set,Imagefile,Color,Rarity,Cost,Class,Type,Range,Attack,Support,Skill1,Skill2,Skill3,Skill4
"Cain, Red Knight",B01,B01-008N_SAMPLE.png,Red,N,1,Cavalier,Male/Sword/Beast,1,40,10,"Red-Green Bond |CONT| If this unit is supported by ""Abel"", this unit gains +30 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Abel, Knight Hailed as the Panther",B01,B01-009R_SAMPLE.png,Red,R,3(2),Paladin,Male/Lance/Beast,1,60,10,Paladin's Protection |CONT| Enemies in the Back Line cannot attack this unit or allies with a Deployment Cost of 2 or lower.,"Green-Red Twin Strike |AUTO| [Tap allied ""Cain""] When this unit attacks, you may pay the cost and if you do: Until the end of the turn, this unit gains +40 attack.",-,-
"Abel, Green Knight",B01,B01-010N_SAMPLE.png,Red,N,1,Cavalier,Male/Lance/Beast,1,40,10,"Green and Red Bond |CONT| If this unit is supported by ""Cain"", this unit gains +30 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Draug, Altea's Shield",B01,B01-011HN_SAMPLE.png,Red,HN,3(2),General,Male/Lance/Armored,1,50,10,"Impregnable Shield |AUTO| [Flip 1 Bond face-down] When an other ally is being attacked, you may pay the cost and if you do: This unit is attacked instead of that ally. This skill is only usable if this unit is in the Front Line.","Armor Expertise |CONT| If this unit is being attacked by a non-<Tome>, this unit gains +20 attack.",-,-
"Draug, Guardian Knight",B01,B01-012N_SAMPLE.png,Red,N,1,Knight,Male/Lance/Armored,1,30,10,"Armor Expertise |CONT| If this unit is being attacked by a non-<Tome>, this unit gains +20 attack.",-,-,"|DEF SUPP| Defense Emblem: Until the end of this combat, your defending unit gains +20 attack."
"Gordin, Bow Knight of the League",B01,B01-013HN_SAMPLE.png,Red,HN,3(2),Sniper,Male/Bow,2,50,20,"Warning Shot |AUTO| Each time you deploy an ally with a Deployment Cost of 2 or lower, you may choose 1 <Flier> enemy, and move them.","Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.",-,-
"Gordin, Archer of the Liberators",B01,B01-014N_SAMPLE.png,Red,N,1,Archer,Male/Bow,2,30,20,"Steel Bow |ACT| [Once per Turn] [Flip 1 Bond face-down] Until the end of the turn, this unit gains +10 attack.","Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.",-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Wrys, Healing Curate",B01,B01-015N_SAMPLE.png,Red,N,1,Priest,Male/Staff,-,30,20,"Vulnerary |AUTO| [Tap this unit, Destroy this unit] When an other ally is attacked, you may pay the cost and if you do: Until the end of this combat, that defending unit gains +20 attack.",-,-,"|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent’s attacking unit cannot perform a Critical Hit."
"Ogma, Talysian Wargod",B01,B01-016SR_SAMPLE.png,Red,SR,4(3),Hero,Male/Sword,1,70,10,"Battlefield Breath |ACT| [Tap 1 other ally] Until the end of the turn, this unit gains +10 attack.","Wargod's Blow |AUTO| When this unit attacks, if this unit has 100 or more attack, then until the end of the turn, the number of Orbs this unit’s attacks will destroy becomes 2.",-,-
"Ogma, Capable Gladiator",B01,B01-017N_SAMPLE.png,Red,N,2,Mercenary,Male/Sword,1,70,10,"Fateful Opponent |CONT| Non-""Caeda"" or ""Navarre"" cards fail to support this unit.",-,-,-
"Ogma, Loyal Blade",B01,B01-018HN_SAMPLE.png,Red,HN,1,Mercenary,Male/Sword,1,40,10,"Mercenary Captain |CONT| During your turn, if there are 2 or more other allies with a Deployment Cost of 2 or lower, this unit gains +20 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Bord, Talysian Warrior",B01,B01-019N_SAMPLE.png,Red,N,1,Fighter,Male/Axe,1,30,10,"Fighter's Expertise |CONT| During your turn, this unit gains +20 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Cord, Talysian Axeman",B01,B01-020N_SAMPLE.png,Red,N,1,Fighter,Male/Axe,1,30,10,"Fighter's Expertise |CONT| During your turn, this unit gains +20 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Barst, The Hatchet",B01,B01-021HN_SAMPLE.png,Red,HN,2,Fighter,Male/Axe,1,40,10,"[FS] Bord, Cord, and Barst |AUTO| [Tap allied ""Bord"" and ""Cord""] When this unit attacks, you may pay the cost and if you do: Until the end of this combat, this unit gains +50 attack and the number of Orbs this unit’s attack will destroy becomes 2.","Fighter's Expertise |CONT| During your turn, this unit gains +20 attack.",-,-
"Navarre, Scarlet Reaper",B01,B01-022SR_SAMPLE.png,Red,SR,4(3),Swordmaster,Male/Sword,1,70,10,"Deathheralding Brandish |ACT| [Send 1 ""Navarre"" from your hand to the Retreat Area] Until the end of the turn, this unit's attacks cannot be evaded.","Dual Wielder |AUTO| [Flip 1 Bond face-down] When this unit's attack destroys an enemy, you may pay the cost and if you do: Choose 1 non-Main Character enemy with a Deployment Cost of 2 or lower, and destroy it.",-,-
"Navarre, Scarlet Reaper+",B01,B01-022SRplus_SAMPLE.png,Red,SR+,4(3),Swordmaster,Male/Sword,1,70,10,"Deathheralding Brandish |ACT| [Send 1 ""Navarre"" from your hand to the Retreat Area] Until the end of the turn, this unit's attacks cannot be evaded.","Dual Wielder |AUTO| [Flip 1 Bond face-down] When this unit's attack destroys an enemy, you may pay the cost and if you do: Choose 1 non-Main Character enemy with a Deployment Cost of 2 or lower, and destroy it.",-,-
"Navarre, Masterful Swordsman",B01,B01-023N_SAMPLE.png,Red,N,2,Myrmidon,Male/Sword,1,70,10,"Fateful Opponent |CONT| Non-""Caeda"" or ""Ogma"" cards fail to support this unit.",-,-,-
"Navarre, Scarlet Sword",B01,B01-024HN_SAMPLE.png,Red,HN,1,Myrmidon,Male/Sword,1,40,10,"Sword of the Cutthroats |CONT| During your turn, if you have no other allies aside from this unit and your Main Character, this unit gains +20 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Lena, Angel of Love",B01,B01-025HN_SAMPLE.png,Red,HN,3(2),Bishop,Female/Tome,1-2,50,20,"Saintly Blessing |AUTO| [Once per Turn]  [Flip 1 Bond face-down] When you deploy an ally with a Deployment Cost of 2 or lower, you may pay the cost and if you do: Choose 1 non-""Lena"" card with a Deployment Cost of 1 from your Retreat Area, and add it to your hand.",-,-,-
"Lena, Angel to All",B01,B01-026N_SAMPLE.png,Red,N,1,Priest,Female/Staff,-,20,20,"Heal |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 non-""Lena"" card from your Retreat Area, and add it to your hand.","Bond with Julian |CONT| Allied ""Julian"" gains +10 attack.",-,"|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent’s attacking unit cannot perform a Critical Hit."
"Julian, Honest Thief",B01,B01-027HN_SAMPLE.png,Red,HN,2,Thief,Male/Sword,1,50,10,"Locktouch |ACT|  [Tap this unit] Reveal the top card of your opponent’s deck. If that card has a Deployment Cost of 3 or higher, you may [Flip 1 Bond face-down]. If you do, draw 1 card.",Theft of Treasure |ACT|  [Flip 1 Bond face-down] Your opponent sends the topmost card of their deck to the Retreat Area.,-,-
"Merric, Gale Sage",B01,B01-028R_SAMPLE.png,Red,R,4(3),Sage,Male/Tome,1-2,60,20,"Excalibur |ACT| [Once per Turn] [Flip 1 Bond face-down] Until the end of the turn, this unit acquires ""Anti-Fliers"": (""Anti-Fliers"" |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.)","The Supreme Wind Magic |AUTO| When this unit's attack destroys an enemy, and if this unit has used ""Excalibur"" in this turn, draw 1 card.",-,-
"Merric, Wind Mage",B01,B01-029N_SAMPLE.png,Red,N,1,Mage,Male/Tome,1-2,30,20,"Excalibur |ACT| [Once per Turn] [Flip 1 Bond face-down] Until the end of the turn, this unit acquires ""Anti-Fliers"": (""Anti-Fliers"" |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.)",-,-,"|ATK SUPP| Magic Emblem: Draw 1 card. Choose 1 card in your hand, and send it to the Retreat Area."
"Minerva, The Princess",B01,B01-030R_SAMPLE.png,Red,R,4(3),Dracoknight,Female/Axe/Flier/Dragon,1,50,30,Wyvern Whip |CONT| This unit gains +10 attack per other <Flier> ally.,"Iote's Shield |CONT| All enemies lose ""Anti-Fliers"" and are unable to re-acquire it. (|CONT| is in effect as long as this card is on the battlefield as a unit.)",-,-
"Minerva, The Princess+",B01,B01-030Rplus_SAMPLE.png,Red,R+,4(3),Dracoknight,Female/Axe/Flier/Dragon,1,50,30,Wyvern Whip |CONT| This unit gains +10 attack per other <Flier> ally.,"Iote's Shield |CONT| All enemies lose ""Anti-Fliers"" and are unable to re-acquire it. (|CONT| is in effect as long as this card is on the battlefield as a unit.)",-,-
"Minerva, True Leader",B01,B01-031N_SAMPLE.png,Red,N,1,Pegasus Knight,Female/Lance/Flier/Beast,1,30,30,"Winds of Macedon |CONT| If there are 2 or more other <Flier> allies, this unit gains +10 attack.",-,-,"|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally."
"Maria, Innocent Bishop",B01,B01-032HN_SAMPLE.png,Red,HN,3(2),Bishop,Female/Tome,1-2,50,20,"Fortify |ACT| [Tap this unit, Flip 3 Bonds face-down] Choose 2 non-""Maria"" cards with different Unit Names from your Retreat Area, and add them to your hand.",-,-,-
"Maria, Younger Princess of Macedon",B01,B01-033N_SAMPLE.png,Red,N,1,Cleric,Female/Staff,-,20,20,"Heal |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 non-""Maria"" card from your Retreat Area, and add it to your hand.","Maria's Wish |CONT| Allied ""Minerva"" and ""Michalis"" gain +10 attack.",-,"|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent’s attacking unit cannot perform a Critical Hit."
"Jeorge, Perfect Shot",B01,B01-034HN_SAMPLE.png,Red,HN,3(2),Sniper,Male/Bow,2,50,20,"Peerless Archer |ACT|  [Tap 1 ally with a Deployment Cost of 2 or lower] Until the end of the turn, if this unit is attacking a <Flier>, this unit's attacks cannot be evaded.","Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.",-,-
"Linde, Heiress to Aura",B01,B01-035R_SAMPLE.png,Red,R,3(2),Sage,Female/Tome,1-2,50,20,"Font of Wisdom |AUTO| [Once per Turn]  [Flip 1 Bond face-down] When you deploy an ally with a Deployment Cost of 2 or lower, you may pay the cost and if you do: Draw 1 card.","Aura |ACT| [Once per Turn] [Flip 1 Bond face-down] Until the end of the turn, this unit gains +20 attack.",-,-
"Linde, Miloah's Child",B01,B01-036N_SAMPLE.png,Red,N,1,Mage,Female/Tome,1-2,30,20,"Thunder |ACT| [Once per Turn] [Flip 1 Bond face-down] Until the end of the turn, this unit gains +10 attack.",-,-,"|ATK SUPP| Magic Emblem: Draw 1 card. Choose 1 card in your hand, and send it to the Retreat Area."
"Linde, Miloah's Child+",B01,B01-036STplus_SAMPLE.png,Red,ST+,1,Mage,Female/Tome,1-2,30,20,"Thunder |ACT| [Once per Turn] [Flip 1 Bond face-down] Until the end of the turn, this unit gains +10 attack.",-,-,"|ATK SUPP| Magic Emblem: Draw 1 card. Choose 1 card in your hand, and send it to the Retreat Area."
"Midia, Knight in Love",B01,B01-037N_SAMPLE.png,Red,N,3(2),Paladin,Female/Lance/Beast,1,60,10,"Twin Blades of Love |AUTO| [Tap allied ""Astram""] When this unit attacks, you may pay the cost and if you do: Until the end of this combat, this unit gains +40 attack.","Dragonpike |CONT| If this unit is attacking a <Dragon>, this unit gains +20 attack.",-,-
"Palla, Eldest Pegasus Sister",B01,B01-038R_SAMPLE.png,Red,R,3(2),Falcon Knight,Female/Lance/Flier/Beast,1,50,30,"[FS] Triangle Attack |AUTO|  [Tap allied ""Catria"" and ""Est""] When this unit attacks, you may pay the cost and if you do: Until the end of this combat, this unit gains +50 attack and her attacks cannot be evaded.","Bonds of the Three Sisters |CONT| If this unit is supported by ""Catria"" or ""Est"", this unit gains +10 attack.",-,-
"Palla, Eldest Pegasus Sister+",B01,B01-038Rplus_SAMPLE.png,Red,R+,3(2),Falcon Knight,Female/Lance/Flier/Beast,1,50,30,"[FS] Triangle Attack |AUTO|  [Tap allied ""Catria"" and ""Est""] When this unit attacks, you may pay the cost and if you do: Until the end of this combat, this unit gains +50 attack and her attacks cannot be evaded.","Bonds of the Three Sisters |CONT| If this unit is supported by ""Catria"" or ""Est"", this unit gains +10 attack.",-,-
"Palla, Elder Pegasus-Riding Knight",B01,B01-039N_SAMPLE.png,Red,N,1,Pegasus Knight,Female/Lance/Flier/Beast,1,30,30,"The Three Pegasus Sisters |ACT|  [Tap this unit, Flip 2 Bonds face-down] Choose 1 ""Catria"" or ""Est"" with a Deployment Cost of 2 or lower from your Deck, and deploy her. Once you do, shuffle your deck.",-,-,"|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally."
"Catria, Middle Pegasus Sister",B01,B01-040R_SAMPLE.png,Red,R,3(2),Falcon Knight,Female/Lance/Flier/Beast,1,50,30,"[FS] Triangle Attack |AUTO|  [Tap allied ""Palla"" and ""Est""] When this unit attacks, you may pay the cost and if you do: Until the end of this combat, this unit gains +50 attack and her attacks cannot be evaded.","Bonds of the Three Sisters |CONT| If this unit is supported by ""Palla"" or ""Est"", this unit gains +10 attack.",-,-
"Catria, Middle Pegasus Sister+",B01,B01-040Rplus_SAMPLE.png,Red,R+,3(2),Falcon Knight,Female/Lance/Flier/Beast,1,50,30,"[FS] Triangle Attack |AUTO|  [Tap allied ""Palla"" and ""Est""] When this unit attacks, you may pay the cost and if you do: Until the end of this combat, this unit gains +50 attack and her attacks cannot be evaded.","Bonds of the Three Sisters |CONT| If this unit is supported by ""Palla"" or ""Est"", this unit gains +10 attack.",-,-
"Catria, Pegasus-Riding Knight",B01,B01-041N_SAMPLE.png,Red,N,1,Pegasus Knight,Female/Lance/Flier/Beast,1,30,30,"The Three Pegasus Sisters |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 ""Palla"" or ""Est"" with a Deployment Cost of 2 or lower from your Deck, and deploy her. Once you do, shuffle your deck.",-,-,"|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally."
"Est, Junior Pegasus Sister",B01,B01-042R_SAMPLE.png,Red,R,3(2),Falcon Knight,Female/Lance/Flier/Beast,1,50,30,"[FS] Triangle Attack |AUTO|  [Tap allied ""Palla"" and ""Catria""] When this unit attacks, you may pay the cost and if you do: Until the end of this combat, this unit gains +50 attack and her attacks cannot be evaded.","Bonds of the Three Sisters |CONT| If this unit is supported by ""Palla"" or ""Catria"", this unit gains +10 attack.",-,-
"Est, Junior Pegasus Sister+",B01,B01-042Rplus_SAMPLE.png,Red,R+,3(2),Falcon Knight,Female/Lance/Flier/Beast,1,50,30,"[FS] Triangle Attack |AUTO|  [Tap allied ""Palla"" and ""Catria""] When this unit attacks, you may pay the cost and if you do: Until the end of this combat, this unit gains +50 attack and her attacks cannot be evaded.","Bonds of the Three Sisters |CONT| If this unit is supported by ""Palla"" or ""Catria"", this unit gains +10 attack.",-,-
"Est, Young Pegasus-Riding Knight",B01,B01-043N_SAMPLE.png,Red,N,1,Pegasus Knight,Female/Lance/Flier/Beast,1,30,30,"The Three Pegasus Sisters |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 ""Palla"" or ""Catria"" with a Deployment Cost of 2 or lower from your Deck, and deploy her. Once you do, shuffle your deck.",-,-,"|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally."
"Astram, Hero in Love",B01,B01-044N_SAMPLE.png,Red,N,3(2),Hero,Male/Sword,1,60,10,"Twin Blades of Love |AUTO| [Tap allied ""Midia""] When this unit attacks, you may pay the cost and if you do: Until the end of this combat, this unit gains +40 attack.","Wyrmslayer |CONT| If this unit is attacking a <Dragon>, this unit gains +20 attack.",-,-
"Xane, Shape-Shifter",B01,B01-045HN_SAMPLE.png,Red,HN,3,Freelancer,Male/Sword,1,30,10,"Imitate |ACT| [Flip 2 Bonds face-down] Choose 1 other ally. Until the end of the turn, this unit copies all of that ally's attributes except Unit Name and Attack.",-,-,-
"Tiki, Manakete Princess",B01,B01-046SR_SAMPLE.png,Red,SR,5,Manakete,Female/Dragonstone/Dragon,1,60,20,"The Dragon Scion's Smile |CONT| During your turn, if a card that successfully supported this unit is to be sent to the Retreat Area, you may instead play it in your Bond Area.","Longevous Dragon Tribe |CONT| If you have 8 or more Bond cards, this unit gains +30 attack.","Divine Dragonstone |CONT| If this unit is attacking a <Dragon>, this unit gains +20 attack.",-
"Tiki, Divine Dragon Princess",B01,B01-047N_SAMPLE.png,Red,N,1,Manakete,Female/Dragonstone/Dragon,1,30,20,"Longevous Dragon Tribe |CONT| If you have 4 or more Bond cards, this unit gains +30 attack.",-,-,"|ATK SUPP| Dragonkin Emblem: If the attacking unit is <Red>, choose 1 card in your hand. You may place that card in your Bond Area."
"Elice, Life-Giver",B01,B01-048N_SAMPLE.png,Red,N,2,Cleric,Female/Staff,-,40,20,"Aum |ACT|  [Tap this unit, Flip 1 Bond face-down] Choose 1 <Red> card with a Deployment Cost of 2 or lower from your Retreat Area, and deploy it. Once you do, no ally can use ""Aum"" again until the game is over.","Elice's Wish |CONT|  Allied ""Marth"" and ""Merric"" gain +10 attack.",-,-
"Athena, Myrmidon from Abroad",B01,B01-049N_SAMPLE.png,Red,N,2,Myrmidon,Female/Sword,1,60,10,Swordswoman's Repayment |SPEC| This card can only deployed if you have 5 or more cards in your Retreat Area.,"Levin Sword |ACT| [Flip 1 Bond face-down] Until the end of the turn, this unit loses -10 attack, but acquires <Tome> and range 1-2.",-,-
"Camus, The Sable",B01,B01-050SR_SAMPLE.png,Red,SR,5(4),Paladin,Male/Lance/Beast,1,70,10,"Gradvius, the Divine Lance |ACT| [Flip 4 Bonds face-down] Destroy all enemies with a Deployment Cost of 2 or lower. Until the end of the turn, this unit gains +10 attack per enemy destroyed by this skill, and range 1-2.",-,-,-
"Chrom, Newly Exalted",B01,B01-051SR_SAMPLE.png,Blue,SR,5(4),Great Lord,Male/Sword,1,70,20,"Authority of the Exalt |ACT| [Flip 3 Bonds face-down, Send 1 ""Chrom"" from your hand to your Retreat Area] Choose as many enemies as you wish, and move them. Until the end of the turn, all allies gain +30 attack.","[CCS] Exalted Falchion |CONT| If this unit is attacking a <Dragon>, this unit gains +40 attack. ([CCS] only comes into effect if this unit has Class Changed.)",-,-
"Chrom, Newly Exalted+",B01,B01-051SRplus_SAMPLE.png,Blue,SR+,5(4),Great Lord,Male/Sword,1,70,20,"Authority of the Exalt |ACT| [Flip 3 Bonds face-down, Send 1 ""Chrom"" from your hand to your Retreat Area] Choose as many enemies as you wish, and move them. Until the end of the turn, all allies gain +30 attack.","[CCS] Exalted Falchion |CONT| If this unit is attacking a <Dragon>, this unit gains +40 attack. ([CCS] only comes into effect if this unit has Class Changed.)",-,-
"Chrom, Descendant of the Hero-King",B01,B01-052N_SAMPLE.png,Blue,N,2,Lord,Male/Sword,1,50,20,"Gallant Prince |ACT| [Flip 2 Bonds face-down] Choose 1 enemy, and move them.",-,-,-
"Chrom, Prince of Ylisse",B01,B01-053HN_SAMPLE.png,Blue,HN,1,Lord,Male/Sword,1,40,20,Brilliance of the Brand |CONT| This unit gains +10 attack per other ally who has Class Changed.,-,-,"|ATK SUPP| Hero Emblem: Until the end of this combat, the number of your Orbs your <Blue> attacking unit's attack will destroy becomes 2."
"Chrom, Prince of Ylisse+",B01,B01-053STplus_SAMPLE.png,Blue,ST+,1,Lord,Male/Sword,1,40,20,Brilliance of the Brand |CONT| This unit gains +10 attack per other ally who has Class Changed.,-,-,"|ATK SUPP| Hero Emblem: Until the end of this combat, the number of your Orbs your <Blue> attacking unit's attack will destroy becomes 2."
"Lucina, Foreseer",B01,B01-054SR_SAMPLE.png,Blue,SR,4(3),Lord,Female/Sword,1,70,20,"Defiant of Destiny |ACT| [Once per Turn] [Flip 1 Bond face-down, Send 1 ""Lucina"" from your hand to the Retreat Area] Draw 2 cards, then choose 1 card from your hand, and place it on top of your Deck. If this card has Class Changed, you may draw 3 cards instead, choose 2 from your hand, and place them in any order on top of your Deck.","Parallel Falchion |CONT| If this unit is attacking a <Dragon>, this unit gains +20 attack.",-,-
"Lucina, Foreseer+",B01,B01-054SRplus_SAMPLE.png,Blue,SR+,4(3),Lord,Female/Sword,1,70,20,"Defiant of Destiny |ACT| [Once per Turn] [Flip 1 Bond face-down, Send 1 ""Lucina"" from your hand to the Retreat Area] Draw 2 cards, then choose 1 card from your hand, and place it on top of your Deck. If this card has Class Changed, you may draw 3 cards instead, choose 2 from your hand, and place them in any order on top of your Deck.","Parallel Falchion |CONT| If this unit is attacking a <Dragon>, this unit gains +20 attack.",-,-
"Lucina, Heiress to the Exalt's Blood",B01,B01-055N_SAMPLE.png,Blue,N,2,Lord,Female/Sword,1,50,20,"Exalted Lineage |ACT| [Once per Turn] [Flip 1 Bond face-down] Until the end of the turn, this unit and allied ""Chrom"" gain +10 Attack. This skill can only be used if you have an allied ""Chrom"".",-,-,-
"Lucina, Swordswoman Calling Herself Marth",B01,B01-056HN_SAMPLE.png,Blue,HN,1,Lord,Female/Sword,1,40,20,"The Name of the Hero-King |SPEC| Treat this card as if its Unit Name is also ""Marth"".","Parallel Falchion |CONT| If this unit is attacking a <Dragon>, this unit gains +20 attack.",-,"|ATK SUPP| Hero Emblem: Until the end of this combat, the number of your Orbs your <Blue> attacking unit's attack will destroy becomes 2."
"Robin (Female), High Deliverer",B01,B01-057R_SAMPLE.png,Blue,R,4(3),Grandmaster,Female/Tome,1-2,60,20,"Grandmaster's Command |AUTO| Each time an other ally Class Changes, you may choose 1 enemy, and move them.","[CCS] ""This is all part of the plan."" |ACT| [Flip 3 Bonds face-down] If you have fewer Orbs than your opponent, add the topmost card of your Deck to your Orb Area. ([CCS] may only be used if this unit has Class Changed.)",-,-
"Robin (Female), High Deliverer+",B01,B01-057Rplus_SAMPLE.png,Blue,R+,4(3),Grandmaster,Female/Tome,1-2,60,20,"Grandmaster's Command |AUTO| Each time an other ally Class Changes, you may choose 1 enemy, and move them.","[CCS] ""This is all part of the plan."" |ACT| [Flip 3 Bonds face-down] If you have fewer Orbs than your opponent, add the topmost card of your Deck to your Orb Area. ([CCS] may only be used if this unit has Class Changed.)",-,-
"Robin (Female), Amnesiac Tactician",B01,B01-058N_SAMPLE.png,Blue,N,1,Tactician,Female/Tome,1-2,30,20,"A Gift for Tactics |CONT| If you have fewer Orbs than your opponent, this unit gains +10 attack.",-,-,"|ATK SUPP| Tactical Emblem: If your attacking unit is <Blue>, choose 1 enemy other than the defending unit. You may move that enemy."
"Lissa, Princess of Ylisse",B01,B01-059R_SAMPLE.png,Blue,R,3(2),War Cleric,Female/Axe,1,60,10,"[CCS] Cleric in Combat |AUTO| When this unit's attack destroys an enemy, choose 1 non-""Lissa"" card with a Deployment Cost of 3 or lower from your Retreat Area, and add it to your hand. ([CCS] only triggers if this unit has Class Changed.)",-,-,-
"Lissa,  Princess of Ylisse+",B01,B01-059Rplus_SAMPLE.png,Blue,R+,3(2),War Cleric,Female/Axe,1,60,10,"[CCS] Cleric in Combat |AUTO| When this unit's attack destroys an enemy, choose 1 non-""Lissa"" card with a Deployment Cost of 3 or lower from your Retreat Area, and add it to your hand. ([CCS] only triggers if this unit has Class Changed.)",-,-,-
"Lissa, Sprightly Cleric",B01,B01-060N_SAMPLE.png,Blue,N,1,Cleric,Female/Staff,-,30,20,"Heal |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 non-""Lissa"" card from your Retreat Area, and add it to your hand.",-,-,"|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent’s attacking unit cannot perform a Critical Hit."
